news_headline,news_article,news_category,full_text,clean_text
That's an old meme: Google on Pak flag in 'best toilet paper' search,"After reports claimed Google Search for 'best toilet paper in the world' showed Pakistani flag's images, Google said the search results were from an old 2017 meme and not actual search results. Google found no evidence of Google Images ranking the flag for search. ""Since these news stories were published, images from them are ranking for this query,"" it added.",technology,"That's an old meme: Google on Pak flag in 'best toilet paper' search. After reports claimed Google Search for 'best toilet paper in the world' showed Pakistani flag's images, Google said the search results were from an old 2017 meme and not actual search results. Google found no evidence of Google Images ranking the flag for search. ""Since these news stories were published, images from them are ranking for this query,"" it added.",old meme google pak flag good toilet paper search report claim google search good toilet paper world show pakistani flag image google say search result old meme not actual search result google find no evidence google image rank flag search since news story publish image rank query add
Was fixed in 2017: Google on 'Maps fooled you' banner in Goa,"Google has responded after an image of a banner in Goa warning tourists that Google Maps was showing them the wrong route to Baga Beach went viral. The banner read, ""You are fooled by Google Maps. This road [doesn't] take you to Baga beach"". Google India said, ""We...already fixed this in 2017. Looks like the banner needs fixing now."" ",technology,"Was fixed in 2017: Google on 'Maps fooled you' banner in Goa. Google has responded after an image of a banner in Goa warning tourists that Google Maps was showing them the wrong route to Baga Beach went viral. The banner read, ""You are fooled by Google Maps. This road [doesn't] take you to Baga beach"". Google India said, ""We...already fixed this in 2017. Looks like the banner needs fixing now."" ",fix google map fool banner goa google respond image banner goa warning tourist google map show wrong route baga beach go viral banner read fool google map road [ not ] take baga beach google india say already fix look like banner need fix
"Tech giants aren't regulated, shouldn't be let into banking: Kotak","Kotak Mahindra Bank Managing Director Uday Kotak has said technology majors like Google and Facebook should not be allowed to become banks as they don't want to be regulated. Adding that banks should not be complacent in facing competition by young companies, Kotak said within a week of demonetisation, a ""relatively unknown"" company became common among masses, hinting at Paytm.",technology,"Tech giants aren't regulated, shouldn't be let into banking: Kotak. Kotak Mahindra Bank Managing Director Uday Kotak has said technology majors like Google and Facebook should not be allowed to become banks as they don't want to be regulated. Adding that banks should not be complacent in facing competition by young companies, Kotak said within a week of demonetisation, a ""relatively unknown"" company became common among masses, hinting at Paytm.",tech giant not regulate not let banking kotak kotak mahindra bank manage director uday kotak say technology major like google facebook not allow become bank not want regulate add bank not complacent face competition young company kotak say within week demonetisation relatively unknown company become common among mass hint paytm
China unveils world's first female AI news anchor,"Chinese state-owned Xinhua news agency unveiled a female AI news anchor, which it claims to be the world's first. The anchor named 'Xin Xiaomeng' will reportedly make her debut in March during the Two Sessions political meet in China. Xinhua, which unveiled the world's first AI news anchor (male) in November last year, claims he has published over 3,400 reports.",technology,"China unveils world's first female AI news anchor. Chinese state-owned Xinhua news agency unveiled a female AI news anchor, which it claims to be the world's first. The anchor named 'Xin Xiaomeng' will reportedly make her debut in March during the Two Sessions political meet in China. Xinhua, which unveiled the world's first AI news anchor (male) in November last year, claims he has published over 3,400 reports.",china unveil world first female ai news anchor chinese state xinhua news agency unveil female ai news anchor claim world first anchor name xin xiaomeng reportedly make debut march two session political meet china xinhua unveil world first ai news anchor male november last year claim publish report
Google responds to bug showing navigation in Urdu in India,"Google has responded after several Indian users reported that a bug on Google Maps was delivering navigation instructions to them in Urdu. ""Our team is aware of the issue and they are working on a fix. Appreciate your patience,"" Google told journalist Ketan Pratap. Pratap had claimed he had not changed any settings and the bug appeared randomly.",technology,"Google responds to bug showing navigation in Urdu in India. Google has responded after several Indian users reported that a bug on Google Maps was delivering navigation instructions to them in Urdu. ""Our team is aware of the issue and they are working on a fix. Appreciate your patience,"" Google told journalist Ketan Pratap. Pratap had claimed he had not changed any settings and the bug appeared randomly.",google respond bug show navigation urdu india google respond several indian user report bug google map deliver navigation instruction urdu team aware issue work fix appreciate patience google tell journalist ketan pratap pratap claim not change setting bug appear randomly
Kerala Police inducts India's first humanoid robot officer,"Kerala Chief Minister Pinarayi Vijayan inaugurated the induction event of India's first humanoid robot 'KP-BOT', gendered female, into the Kerala Police force at the rank of Sub-Inspector. The robot, equipped with facial recognition technology, will work at the police headquarters' front desk. It will perform functions including greeting visitors and guiding them to appropriate sections. ",technology,"Kerala Police inducts India's first humanoid robot officer. Kerala Chief Minister Pinarayi Vijayan inaugurated the induction event of India's first humanoid robot 'KP-BOT', gendered female, into the Kerala Police force at the rank of Sub-Inspector. The robot, equipped with facial recognition technology, will work at the police headquarters' front desk. It will perform functions including greeting visitors and guiding them to appropriate sections. ",kerala police induct indias first humanoid robot officer kerala chief minister pinarayi vijayan inaugurate induction event indias first humanoid robot kp bot gendered female kerala police force rank sub inspector robot equip facial recognition technology work police headquarters front desk perform function include greet visitor guide appropriate section
"FB, Google to pre-verify political ads ahead of LS elections","Facebook and Google told the Bombay High Court they will employ strict ""pre-verification processes"" for political ads on their platforms ahead of 2019 Lok Sabha elections. To post a political advertisement on Facebook, Indians will need to submit ID card, issued by a valid Indian authority and provide Indian residence proof, Facebook's counsel said. Google has employed a similar process. ",technology,"FB, Google to pre-verify political ads ahead of LS elections. Facebook and Google told the Bombay High Court they will employ strict ""pre-verification processes"" for political ads on their platforms ahead of 2019 Lok Sabha elections. To post a political advertisement on Facebook, Indians will need to submit ID card, issued by a valid Indian authority and provide Indian residence proof, Facebook's counsel said. Google has employed a similar process. ",fb google pre verify political ad ahead ls election facebook google tell bombay high court employ strict pre verification process political ad platform ahead lok sabha election post political advertisement facebook indian need submit would card issue valid indian authority provide indian residence proof facebook counsel say google employ similar process
"IIT Madras develops algorithm to prevent stampedes at Kumbh, Hajj","IIT Madras researchers have developed an algorithm that can help manage crowds using minimal manpower, and prevent stampedes at crowded gatherings like Kumbh and Hajj. Researchers said that crowd movement resembles a fluid, and laws of fluid dynamics can be used to place personnel to check for disturbances. The computer simulation can also help design safe evacuation procedures, researchers added.",technology,"IIT Madras develops algorithm to prevent stampedes at Kumbh, Hajj. IIT Madras researchers have developed an algorithm that can help manage crowds using minimal manpower, and prevent stampedes at crowded gatherings like Kumbh and Hajj. Researchers said that crowd movement resembles a fluid, and laws of fluid dynamics can be used to place personnel to check for disturbances. The computer simulation can also help design safe evacuation procedures, researchers added.",iit madra develop algorithm prevent stampede kumbh hajj iit madra researcher develop algorithm help manage crowd use minimal manpower prevent stampede crowded gathering like kumbh hajj researcher say crowd movement resemble fluid law fluid dynamic use place personnel check disturbance computer simulation also help design safe evacuation procedure researcher add
Russian hackers trying to influence EU elections: Microsoft,Microsoft has claimed that Russian hackers targeted European officials and non-profit organisations in contact with government officials to influence European Union elections. About 104 individuals across six countries were targeted from September-December 2018. The attacks originated from the same group which had allegedly meddled in the 2017 French presidential elections and 2016 US elections.,technology,Russian hackers trying to influence EU elections: Microsoft. Microsoft has claimed that Russian hackers targeted European officials and non-profit organisations in contact with government officials to influence European Union elections. About 104 individuals across six countries were targeted from September-December 2018. The attacks originated from the same group which had allegedly meddled in the 2017 French presidential elections and 2016 US elections.,russian hacker try influence eu election microsoft microsoft claim russian hacker target european official non profit organisation contact government official influence european union election individual across six country target september december attack originate group allegedly meddle french presidential election us election
18-yr-old US student held for making iOS app to sell drugs,"Collin Howard, a California University Santa Cruz student, was charged for allegedly developing an iOS app called 'Banana Plug' to sell drugs. Undercover police officers used the app to purchase drugs including cocaine from the 18-year-old and arrested him on the fourth such setup. The app with tagline 'We have what you want' is still available on Apple's App Store. ",technology,"18-yr-old US student held for making iOS app to sell drugs. Collin Howard, a California University Santa Cruz student, was charged for allegedly developing an iOS app called 'Banana Plug' to sell drugs. Undercover police officers used the app to purchase drugs including cocaine from the 18-year-old and arrested him on the fourth such setup. The app with tagline 'We have what you want' is still available on Apple's App Store. ",yr old us student hold make ios app sell drug collin howard california university santa cruz student charge allegedly develop ios app call banana plug sell drug undercover police officer use app purchase drug include cocaine year old arrest fourth setup app tagline want still available apple app store
